station,year,day,hour,temp,rh,totalRadiation,CO2,wind,soilWater_potential,soilWater_content,rainfall
TOY001,2000,1,0,10.1,0.891,0.0,400,1.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,1,8.9,0.923,0.0,400,1.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,2,8.2,0.943,0.0,400,1.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,3,8.0,0.95,0.0,400,1.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,4,8.2,0.943,0.0,400,1.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,5,8.9,0.923,0.0,400,1.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,6,10.1,0.891,623.0,400,1.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,7,11.5,0.85,1490.6,400,2.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,8,13.2,0.802,2405.6,400,3.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,9,15.0,0.75,3263.1,400,3.8,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,10,16.8,0.698,3981.4,400,4.5,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,11,18.5,0.65,4496.9,400,4.9,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,12,19.9,0.609,4765.8,400,5.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,13,21.1,0.577,4765.8,400,4.9,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,14,21.8,0.557,4496.9,400,4.5,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,15,22.0,0.55,3981.4,400,3.8,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,16,21.8,0.557,3263.1,400,3.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,17,21.1,0.577,2405.6,400,2.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,18,19.9,0.609,1490.6,400,1.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,19,18.5,0.65,623.0,400,1.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,20,16.8,0.698,0.0,400,1.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,21,15.0,0.75,0.0,400,1.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,22,13.2,0.802,0.0,400,1.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,1,23,11.5,0.85,0.0,400,1.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
TOY001,2000,2,0,10.1,0.891,0.0,400,1.0,"-0.2,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0.0
